2026-02-17T12:42:55.648+05:30  INFO 12948 --- [toshi] [main] com.toshi.ToshiApplication               : Starting ToshiApplication using Java 21.0.9 with PID 12948 (D:\gllfl_projects\toshi\target\classes started by sunde in D:\gllfl_projects\toshi)
2026-02-17T12:42:55.669+05:30 DEBUG 12948 --- [toshi] [main] com.toshi.ToshiApplication               : Running with Spring Boot v4.0.2, Spring v7.0.3
2026-02-17T12:42:55.671+05:30  INFO 12948 --- [toshi] [main] com.toshi.ToshiApplication               : The following 1 profile is active: "local"
2026-02-17T12:42:55.674+05:30 DEBUG 12948 --- [toshi] [main] o.s.boot.SpringApplication               : Loading source class com.toshi.ToshiApplication
2026-02-17T12:42:55.901+05:30 DEBUG 12948 --- [toshi] [main] onfigReactiveWebServerApplicationContext : Refreshing org.springframework.boot.web.server.reactive.context.AnnotationConfigReactiveWebServerApplicationContext@319bc845
2026-02-17T12:42:55.975+05:30 DEBUG 12948 --- [toshi] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2026-02-17T12:42:56.023+05:30 DEBUG 12948 --- [toshi] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2026-02-17T12:42:56.137+05:30 DEBUG 12948 --- [toshi] [background-preinit] org.jboss.logging                        : Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
2026-02-17T12:42:56.171+05:30 DEBUG 12948 --- [toshi] [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : Trying to load META-INF/validation.xml for XML based Validator configuration.
2026-02-17T12:42:56.174+05:30 DEBUG 12948 --- [toshi] [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via TCCL
2026-02-17T12:42:56.175+05:30 DEBUG 12948 --- [toshi] [background-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2026-02-17T12:42:56.175+05:30 DEBUG 12948 --- [toshi] [background-preinit] o.h.v.i.xml.config.ValidationXmlParser   : No META-INF/validation.xml found. Using annotation based configuration only.
2026-02-17T12:42:56.189+05:30 DEBUG 12948 --- [toshi] [background-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Cannot find jakarta.persistence.Persistence on classpath. Assuming non Jakarta Persistence environment. All properties will per default be traversable.
2026-02-17T12:42:56.272+05:30 DEBUG 12948 --- [toshi] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\gllfl_projects\toshi\target\classes\com\toshi\config\RazorpayConfig.class]
2026-02-17T12:42:56.274+05:30 DEBUG 12948 --- [toshi] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\gllfl_projects\toshi\target\classes\com\toshi\config\SecurityConfig.class]
2026-02-17T12:42:56.314+05:30 DEBUG 12948 --- [toshi] [background-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2026-02-17T12:42:56.318+05:30 DEBUG 12948 --- [toshi] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\gllfl_projects\toshi\target\classes\com\toshi\controller\PaymentController.class]
